==================================================
Recipe (2021-09-26 20:48:45)
==================================================
No,	Type,	Name,	MIN,	MAX,	Data,	Unit,	Address,	Count,	Format,	C
1,	C,	품번,	,	,	54630-C1061,	,	R1,	20,	,	Q
2,	C,	품명,	,	,	LF FRT,	,	R21,	20,	,	Q
3,	C,	고객사,	,	,	HYUNDAI,	,	R41,	20,	,	Q
4,	-,	[하중시험],	,	,	,	,	,	,	,	Q
5,	N,	시험 지연 시간,	0,	2000,	500,	msec,	R3060,	1,	0,	Q
6,	B,	오리엔테이션 방법,	일반,	사이드로드,	사이드로드,	,	R3062,	1,	,	Q
7,	N,	오리엔테이션 토오크%,	10,	200,	30,	%,	R3063,	1,	0,	Q
8,	N,	오리엔테이션 속도,	0.01,	5.00,	5.00,	turn/s,	R3064,	1,	0.00,	Q
9,	N,	오리엔테이션 권수,	0.01,	3.00,	2.00,	turn,	R3065,	1,	0.00,	Q
10,	B,	오리엔테이션 방향,	좌권,	우권,	우권,	,	R3066,	1,	,	Q
11,	B,	마스터 셋업 방법,	하중,	변위,	하중,	,	R8020,	1,	,	Q
12,	N,	상승위치(홈),	350,	685,	570.0,	mm,	R3061,	1,	0.0,	Q
13,	N,	세팅전 클램프위치,	200,	545,	370.0,	mm,	R3078,	1,	0.0,	Q
14,	N,	세팅후 클램프위치,	200,	545,	334.0,	mm,	R3079,	1,	0.0,	Q
15,	N,	오리엔테이션 위치,	200,	570,	332.0,	mm,	R3067,	1,	0.0,	Q
16,	N,	시험 높이,	130,	570,	184.8,	mm,	R3070,	1,	0.0,	Q
17,	-,	[마스터 샘플],	,	,	,	,	,	,	,	Q
18,	N,	하중,	100,	1000,	409.9,	kg,	R3150,	1,	0.0,	Q
19,	N,	(+ 범위),	0.1,	1,	0.1,	kg,	R3151,	1,	0.0,	Q
20,	N,	Ux,	-100,	100,	0.00,	mm,	R3154,	1,	0.00,	Q
21,	N,	Uy,	-100,	100,	0.00,	mm,	R3155,	1,	0.00,	Q
22,	N,	Lx,	-100,	100,	0.00,	mm,	R3152,	1,	0.00,	Q
23,	N,	Ly,	-100,	100,	0.00,	mm,	R3153,	1,	0.00,	Q
24,	-,	,	,	,	,	,	,	,	,	Q
25,	N,	오리엔테이션 시작권수,	-1.00,	1.00,	0.60,	turn,	R3071,	1,	0.00,	Q
26,	N,	역회전 권수,	0.000,	0.500,	0.050,	turn,	R3068,	1,	0.000,	Q
27,	N,	역회전 상승,	0.0,	10.00,	0.0,	mm,	R3069,	1,	0.0,	Q
28,	B,	정지권 확인선택,	선택무,	선택유,	선택무,	,	R3100,	1,	,	Q
29,	N,	정지권,	0.00,	0.99,	0.00,	turn,	R3101,	1,	0.00,	Q
30,	N,	범위 +-,	0.01,	0.10,	0.05,	turn,	R3102,	1,	0.00,	Q
31,	N,	상측 시트판 두께,	0,	200,	79.0,	mm,	R3076,	1,	0.0,	Q
32,	N,	하측 시트판 두께,	0,	200,	44.0,	mm,	R3077,	1,	0.0,	Q
33,	-,	[하중값],	,	,	,	,	,	,	,	Q
34,	N,	+ + 하중,	0.0,	1500.0,	421.7,	kg,	R3081,	1,	0.0,	Q
35,	N,	+  하중,	0.0,	1500.0,	413.3,	kg,	R3082,	1,	0.0,	Q
36,	-,	,	,	,	,	,	,	,	,	Q
37,	N,	-  하중,	0.0,	1500.0,	413.3,	kg,	R3084,	1,	0.0,	Q
38,	N,	- - 하중,	0.0,	1500.0,	404.9,	kg,	R3085,	1,	0.0,	Q
39,	-,	,	,	,	,	,	,	,	,	Q
40,	N,	램1-1 위치 옵셋,	-20,	20.0,	0.0,	mm,	R3072,	1,	0.0,	Q
41,	N,	램1-2 위치 옵셋,	-20,	20.0,	0.0,	mm,	R3073,	1,	0.0,	Q
42,	N,	램2-1 위치 옵셋,	-20,	20.0,	0.0,	mm,	R3074,	1,	0.0,	Q
43,	N,	램2-2 위치 옵셋,	-20,	20.0,	0.0,	mm,	R3075,	1,	0.0,	Q
44,	-,	,	,	,	,	,	,	,	,	Q
45,	-,	[6축 데이타 기본값 (Spec)],	,	,	,	,	,	,	,	Q
46,	B,	6축시험선택,	선택무,	선택유,	선택유,	,	R3106,	1,	,	Q
47,	N,	Ux,	-100,	100,	0.00,	mm,	R3111,	1,	0.00,	Q
48,	N,	.     +-,	0,	10,	3.00,	mm,	R3112,	1,	0.00,	Q
49,	N,	Uy,	-100,	100,	5.70,	mm,	R3113,	1,	0.00,	Q
50,	N,	.     +-,	0,	10,	4.00,	mm,	R3114,	1,	0.00,	Q
51,	N,	Lx,	-100,	100,	0.00,	mm,	R3107,	1,	0.00,	Q
52,	N,	.     +-,	0,	10,	4.00,	mm,	R3108,	1,	0.00,	Q
53,	N,	Ly,	-100,	100,	42.80,	mm,	R3109,	1,	0.00,	Q
54,	N,	.     +-,	0,	10,	4.00,	mm,	R3110,	1,	0.00,	Q
55,	-,	,	,	,	,	,	,	,	,	Q
56,	-,	[6축 옵셋],	,	,	,	,	,	,	,	Q
57,	N,	1-1 Ux 옵셋,	-100,	100,	0.00,	mm,	R3119,	1,	0.00,	Q
58,	N,	1-1 Uy 옵셋,	-100,	100,	0.00,	mm,	R3120,	1,	0.00,	Q
59,	N,	1-1 Lx 옵셋,	-100,	100,	0.00,	mm,	R3117,	1,	0.00,	Q
60,	N,	1-1 Ly 옵셋,	-100,	100,	0.00,	mm,	R3118,	1,	0.00,	Q
61,	N,	1-2 Ux 옵셋,	-100,	100,	0.00,	mm,	R3123,	1,	0.00,	Q
62,	N,	1-2 Uy 옵셋,	-100,	100,	0.00,	mm,	R3124,	1,	0.00,	Q
63,	N,	1-2 Lx 옵셋,	-100,	100,	0.00,	mm,	R3121,	1,	0.00,	Q
64,	N,	1-2 Ly 옵셋,	-100,	100,	0.00,	mm,	R3122,	1,	0.00,	Q
65,	N,	2-1 Ux 옵셋,	-100,	100,	0.00,	mm,	R3127,	1,	0.00,	Q
66,	N,	2-1 Uy 옵셋,	-100,	100,	0.00,	mm,	R3128,	1,	0.00,	Q
67,	N,	2-1 Lx 옵셋,	-100,	100,	0.00,	mm,	R3125,	1,	0.00,	Q
